closed_at,product_id,position_side,net_size,leverage,opened_at,closure_reason,entry_price,exit_price,profit_loss,profit_loss_pct,mae,mfe,duration_seconds,order_id
2025-12-28T15:51:23Z,DOGE-PERP-INTX,SHORT,-2033,,2025-12-27T15:50:28Z,stop_loss,0.12302,0.124385,-2.93,-1.1097,-3.62,1.02,86454,
2025-12-28T15:51:36Z,SEI-PERP-INTX,LONG,2185,,2025-12-27T15:50:47Z,take_profit,0.1146,0.1167,4.44,1.8325,-3.5,6.34,86449,
2025-12-28T17:31:56Z,BTC-PERP-INTX,LONG,0.0029,,2025-12-27T17:30:27Z,expired_breakeven,87492,87819.6,0.8,0.3744,-0.22,1.68,86488,
2025-12-28T18:15:56Z,ENA-PERP-INTX,LONG,1174,,2025-12-28T06:12:43Z,stop_loss,0.213028,0.20618,-8.19,-3.2146,-8.04,1.53,43392,
2025-12-28T18:24:03Z,LTC-PERP-INTX,SHORT,-0.45,,2025-12-28T12:16:36Z,expired_breakeven,79.24,78.7,0.21,0.6815,-0.19,0.35,22046,
2025-12-29T02:07:04Z,LINK-PERP-INTX,SHORT,-20.19,,2025-12-28T18:24:12Z,stop_loss,12.38,12.784482,-8.32,-3.2672,-8.6,1.37,27772,
2025-12-29T02:07:06Z,ADA-PERP-INTX,SHORT,-683,,2025-12-28T18:24:22Z,stop_loss,0.366,0.378117,-8.43,-3.3107,-9.36,3.42,27764,
2025-12-29T02:07:06Z,ETH-PERP-INTX,SHORT,-0.0851,,2025-12-28T06:12:34Z,stop_loss,2936.25,3016.05,-6.94,-2.7178,-6.83,1.13,71672,
2025-12-29T03:11:37Z,BTC-PERP-INTX,SHORT,-0.0029,,2025-12-28T18:27:57Z,stop_loss,87668.7,89371.7,-5.09,-1.9425,-5.07,0.9,31419,
2025-12-29T06:13:27Z,INJ-PERP-INTX,LONG,51.9,,2025-12-28T06:12:25Z,expired_breakeven,4.818,4.833,0.63,0.3113,-5.81,3.84,86462,
2025-12-29T06:13:37Z,WLD-PERP-INTX,SHORT,-492.22,,2025-12-28T06:12:53Z,stop_loss,0.50773,0.5165,-4.47,-1.7272,-6.29,4.44,86443,
2025-12-29T06:13:46Z,ETC-PERP-INTX,SHORT,-20.54,,2025-12-28T06:13:12Z,stop_loss,12.158319,12.398519,-5.08,-1.9756,-6.85,3.19,86434,
2025-12-29T06:13:56Z,CRV-PERP-INTX,LONG,255,,2025-12-28T06:13:03Z,expired_breakeven,0.3981,0.3995,0.3,0.3517,-2.96,1.76,86453,
2025-12-29T06:21:25Z,RENDER-PERP-INTX,LONG,187.1,,2025-12-28T06:19:50Z,take_profit,1.338512,1.363,4.43,1.8295,-6.83,5.89,86495,
2025-12-29T06:25:15Z,FET-PERP-INTX,LONG,723.4,,2025-12-28T06:24:24Z,take_profit,0.2151,0.2203,3.68,2.4175,-1.95,5.21,86450,
2025-12-29T07:20:50Z,ZRO-PERP-INTX,LONG,110.5,,2025-12-28T12:41:39Z,take_profit,1.244457,1.277,3.5,2.615,-0.93,4.15,67151,
2025-12-29T12:06:16Z,SOL-PERP-INTX,LONG,1.945,,2025-12-29T02:29:31Z,stop_loss,128.57,124.115356,-8.81,-3.4648,-10.02,1.76,34604,
2025-12-29T12:07:06Z,SUI-PERP-INTX,LONG,167.7,,2025-12-29T07:21:20Z,stop_loss,1.491084,1.443097,-8.19,-3.2183,-8.89,1.03,17145,
2025-12-29T12:07:09Z,LINK-PERP-INTX,LONG,19.69,,2025-12-29T02:29:22Z,stop_loss,12.70092,12.284111,-8.35,-3.2817,-8.52,6.16,34667,
2025-12-29T12:07:33Z,INJ-PERP-INTX,LONG,52.3,,2025-12-29T07:21:10Z,stop_loss,4.779,4.624562,-8.22,-3.2316,-8.11,2.51,17183,
2025-12-29T12:13:35Z,FET-PERP-INTX,LONG,1148.4,,2025-12-29T07:21:00Z,stop_loss,0.218,0.210431,-8.84,-3.472,-8.84,1.95,17555,
2025-12-29T12:19:29Z,ADA-PERP-INTX,SHORT,-1858,,2025-11-07T00:44:15Z,take_profit,0.493881,0.4613,60.04,6.5969,-209.8,287.77,4534513,
2025-12-29T12:41:46Z,BCH-PERP-INTX,LONG,0.407,,2025-12-29T02:29:41Z,stop_loss,614.97371,599.955356,-6.26,-2.4421,-6.81,3.97,36724,
2025-12-29T12:41:48Z,WLD-PERP-INTX,SHORT,-488.38,,2025-12-29T07:20:41Z,take_profit,0.511646,0.4993,5.88,2.4129,-2.27,9.84,19267,
2025-12-29T12:41:48Z,ETH-PERP-INTX,SHORT,-0.0833,,2025-12-29T02:29:12Z,take_profit,2999.477347,2933.5,5.35,2.1996,-4.62,7.68,36756,
2025-12-29T12:41:48Z,ARB-PERP-INTX,LONG,1285.3,,2025-12-28T18:33:11Z,stop_loss,0.194692,0.1912,-4.64,-1.7936,-7.57,6.31,65316,
2025-12-29T12:41:48Z,LTC-PERP-INTX,LONG,0.83,,2025-12-28T18:24:03Z,expired_breakeven,78.69,77.64,-0.92,-1.3343,-1.55,1.23,65865,
2025-12-29T12:41:48Z,ZRO-PERP-INTX,SHORT,-86.2,,2025-12-29T07:20:50Z,take_profit,1.277,1.252,2.11,1.9577,-0.95,3.36,19258,
2025-12-29T12:41:48Z,ADA-PERP-INTX,LONG,377,,2025-12-29T12:19:29Z,expired_breakeven,0.3631,0.3653,0.76,0.6059,-0.41,1.06,1339,
2025-12-29T12:41:48Z,DOGE-PERP-INTX,SHORT,-1975,,2025-12-29T07:21:31Z,take_profit,0.126552,0.123622,5.64,2.3153,-1.1,8.32,19217,
2025-12-29T12:41:48Z,LTC-PERP-INTX,LONG,3.18,,2025-12-28T18:24:03Z,stop_loss,78.696918,77.644025,-3.5,-1.3379,-5.97,4.68,65865,
2025-12-29T12:41:48Z,ADA-PERP-INTX,LONG,689,,2025-12-29T12:19:29Z,take_profit,0.3631,0.3653,1.37,0.6059,-0.76,1.93,1339,
2025-12-29T12:41:48Z,ZRO-PERP-INTX,SHORT,-196.7,,2025-12-29T07:20:50Z,take_profit,1.277,1.252,4.77,1.9577,-2.16,7.67,19258,
2025-12-31T15:52:39Z,CRV-PERP-INTX,LONG,674,,2025-12-31T15:50:12Z,expired_breakeven,0.3714,0.3711,-0.35,-0.0808,-0.34,0,146,
2026-01-01T15:02:05Z,ARB-PERP-INTX,SHORT,-1351.4,,2025-12-31T16:44:10Z,stop_loss,0.1855,0.1929,-10.15,-3.9892,-10,2.43,80275,
2026-01-01T15:41:17Z,DOGE-PERP-INTX,SHORT,-2114,,2026-01-01T06:08:52Z,stop_loss,0.11822,0.12216,-8.48,-3.3328,-11.67,0.34,34344,
2026-01-01T17:02:13Z,RENDER-PERP-INTX,LONG,195.3,,2025-12-31T16:45:27Z,take_profit,1.283,1.336,10.2,4.1309,-0.59,10.35,87406,
2026-01-01T17:02:22Z,LTC-PERP-INTX,SHORT,-3.25,,2025-12-31T16:44:29Z,stop_loss,76.824431,78.75,-6.41,-2.5065,-7.17,2.91,87472,
2026-01-01T17:21:35Z,SUI-PERP-INTX,SHORT,-177.9,,2025-12-31T18:08:37Z,stop_loss,1.4059,1.4458,-7.25,-2.838,-7.13,3.5,83577,
2026-01-02T09:49:24Z,DOGE-PERP-INTX,SHORT,-1947,,2026-01-02T06:08:17Z,stop_loss,0.12832,0.1324,-8.1,-3.1796,-12.15,1.64,13267,
2026-01-02T10:48:47Z,ONDO-PERP-INTX,LONG,650,,2026-01-02T02:09:26Z,take_profit,0.3851,0.4039,12.11,4.8818,-0.39,12.22,31160,
2026-01-02T11:45:34Z,DOGE-PERP-INTX,LONG,1881,,2026-01-02T10:07:19Z,stop_loss,0.13317,0.12863,-8.69,-3.4092,-8.84,0.26,5895,
2026-01-02T14:48:07Z,SUI-PERP-INTX,LONG,171.2,,2026-01-02T02:09:07Z,take_profit,1.4616,1.5321,11.96,4.8235,-0.1,13.05,45540,
2026-01-02T15:39:48Z,ADA-PERP-INTX,LONG,703,,2026-01-02T02:08:27Z,take_profit,0.3561,0.3727,11.56,4.6616,-0.98,12.37,48680,
2026-01-02T16:33:34Z,CRV-PERP-INTX,LONG,638,,2026-01-02T02:09:45Z,take_profit,0.3917,0.4104,11.82,4.7741,-0.7,12.7,51828,
2026-01-02T16:33:55Z,DOGE-PERP-INTX,LONG,1898,,2026-01-02T14:07:38Z,take_profit,0.13174,0.13806,11.88,4.7973,-4.44,12.66,8776,
2026-01-02T16:34:47Z,AAVE-PERP-INTX,SHORT,-1.65,,2026-01-02T14:07:19Z,stop_loss,151.57,157.060909,-9.21,-3.6227,-9.24,3.17,8848,
2026-01-02T17:15:42Z,BTC-PERP-INTX,LONG,0.0028,,2026-01-02T02:08:47Z,take_profit,88371.6,90836.5,6.79,2.7892,-0.26,7.21,54414,
2026-01-03T01:59:26Z,LTC-PERP-INTX,LONG,3.16,,2026-01-02T02:10:05Z,take_profit,79.19,82.49,10.31,4.1672,-0.35,10.49,85760,
2026-01-03T18:07:33Z,BCH-PERP-INTX,LONG,0.409,,2026-01-02T18:07:20Z,take_profit,611.08,638.44,11.04,4.4773,-2.92,12.7,86413,
2026-01-03T18:09:36Z,SUPER-PERP-INTX,LONG,1138,,2026-01-02T18:07:40Z,take_profit,0.22024,0.22227,2.16,0.9217,-2.94,4.04,86516,
2026-01-03T18:58:03Z,CRV-PERP-INTX,LONG,616,,2026-01-02T22:07:27Z,take_profit,0.406,0.4265,12.51,5.0493,-6.04,13.55,75035,
2026-01-03T22:08:49Z,BTC-PERP-INTX,LONG,0.0028,,2026-01-02T22:07:47Z,expired_breakeven,90104,90486.9,0.92,0.425,-2.37,1.7,86462,
2026-01-03T22:09:03Z,PENDLE-PERP-INTX,SHORT,-109.8,,2025-11-03T02:06:38Z,take_profit,2.970979,2.208,83.6,25.6811,-1.43,144.38,5342545,
2026-01-04T03:12:25Z,DOGE-PERP-INTX,LONG,1770,,2026-01-03T02:08:12Z,take_profit,0.14126,0.1481,11.99,4.8421,-3.89,13.45,90253,
2026-01-04T06:06:37Z,XLM-PERP-INTX,LONG,1137,,2026-01-03T18:08:28Z,take_profit,0.219969,0.23062,12,4.8422,-1.17,12.24,43089,
2026-01-04T07:22:48Z,ADA-PERP-INTX,LONG,636,,2026-01-03T02:08:31Z,take_profit,0.3926,0.3958,1.88,0.8151,-6.42,5.79,105256,
2026-01-04T07:22:59Z,LINK-PERP-INTX,LONG,18.89,,2026-01-03T02:07:53Z,take_profit,13.233859,13.295,1,0.462,-5.15,4.16,105306,
2026-01-04T09:01:53Z,WLFI-PERP-INTX,LONG,1416,,2026-01-03T22:08:44Z,stop_loss,0.17693,0.170313,-9.52,-3.74,-9.43,6.61,39189,
2026-01-04T22:10:37Z,PENDLE-PERP-INTX,LONG,112.7,,2026-01-03T22:09:03Z,expired_breakeven,2.208,2.209,-0.04,0.0453,-6.31,6.54,86493,
2026-01-05T02:08:16Z,WLFI-PERP-INTX,LONG,1439,,2026-01-04T10:08:41Z,stop_loss,0.17405,0.17284,-1.89,-0.6952,-8.27,1.11,57575,
2026-01-05T02:08:19Z,DOT-PERP-INTX,LONG,115.9,,2026-01-04T14:08:45Z,stop_loss,2.157,2.148,-1.19,-0.4172,-4.52,2.43,43173,
2026-01-05T02:08:19Z,DOGE-PERP-INTX,LONG,1649,,2026-01-04T18:08:42Z,stop_loss,0.15165,0.15093,-1.34,-0.4748,-9.23,1.17,28776,
2026-01-05T02:08:19Z,AAVE-PERP-INTX,LONG,1.53,,2026-01-04T06:08:43Z,take_profit,163.09,166.44,4.97,2.0541,-3.7,7.25,71975,
2026-01-05T11:05:32Z,HBAR-PERP-INTX,LONG,1997,,2026-01-05T06:08:17Z,stop_loss,0.125328,0.124825,-1.15,-0.4014,-2.45,3.02,17834,
2026-01-05T11:05:35Z,PENDLE-PERP-INTX,LONG,114.8,,2026-01-05T06:09:16Z,expired_breakeven,2.179,2.185,0.54,0.2754,-2.3,3.1,17778,
2026-01-05T11:05:35Z,LTC-PERP-INTX,LONG,3.05,,2026-01-05T10:08:54Z,stop_loss,82.09,81.57,-1.74,-0.6335,-1.59,0.06,3400,
2026-01-05T11:05:35Z,SOL-PERP-INTX,LONG,1.847,,2026-01-05T06:08:37Z,expired_breakeven,135.31,135.414,0.04,0.0769,-1.43,1.21,17818,
2026-01-05T11:05:35Z,SEI-PERP-INTX,LONG,2016,,2026-01-05T06:07:58Z,stop_loss,0.124,0.1231,-1.96,-0.7258,-2.02,1.81,17857,
2026-01-05T11:05:35Z,ADA-PERP-INTX,LONG,628,,2026-01-05T06:08:56Z,stop_loss,0.3984,0.3969,-1.09,-0.3765,-1.95,3.39,17798,
2026-01-05T18:49:52Z,ADA-PERP-INTX,LONG,628,,2026-01-05T14:10:03Z,take_profit,0.3982,0.4188,12.82,5.1733,-0.25,12.94,16788,
2026-01-05T18:56:16Z,INJ-PERP-INTX,LONG,48.9,,2026-01-05T14:09:06Z,take_profit,5.095632,5.36,12.81,5.1881,-0.03,12.93,17230,
2026-01-05T20:29:43Z,SOL-PERP-INTX,LONG,1.874,,2026-01-05T14:09:25Z,take_profit,133.416,139.825,11.9,4.8038,-0.64,12.08,22818,
2026-01-06T12:12:15Z,SEI-PERP-INTX,LONG,1943,,2026-01-05T22:08:47Z,take_profit,0.1287,0.1347,11.54,4.662,-0.19,12.24,50608,
2026-01-06T13:22:41Z,SUPER-PERP-INTX,LONG,1108,,2026-01-05T14:10:23Z,take_profit,0.22587,0.23683,12.03,4.8523,0,12.14,83538,
2026-01-06T13:48:15Z,BCH-PERP-INTX,LONG,0.385,,2026-01-05T14:09:44Z,stop_loss,650.11,631.77,-7.21,-2.8211,-9.98,1.88,85110,
2026-01-06T14:09:48Z,LTC-PERP-INTX,LONG,3.06,,2026-01-05T14:08:47Z,take_profit,81.7,84.22,7.56,3.0845,-0.24,8.72,86460,
2026-01-06T16:07:49Z,DOGE-PERP-INTX,LONG,1646,,2026-01-06T06:08:52Z,stop_loss,0.15176,0.14679,-8.33,-3.2749,-13.1,7.93,35936,
2026-01-06T16:27:30Z,SEI-PERP-INTX,LONG,1870,,2026-01-06T14:08:58Z,stop_loss,0.134,0.129,-9.5,-3.7313,-9.35,2.43,8311,
2026-01-06T17:40:59Z,BTC-PERP-INTX,LONG,0.0027,,2026-01-06T02:09:11Z,stop_loss,93708.1,92160.1,-4.33,-1.6519,-4.73,2.04,55908,
2026-01-06T17:45:10Z,CRV-PERP-INTX,LONG,579,,2026-01-06T14:09:37Z,stop_loss,0.4317,0.4165,-8.95,-3.521,-9.84,4,12932,
2026-01-06T17:49:29Z,DOT-PERP-INTX,LONG,113.8,,2026-01-06T02:08:51Z,stop_loss,2.198,2.132923,-7.55,-2.9608,-7.51,7.17,56437,
2026-01-06T23:11:00Z,DOT-PERP-INTX,LONG,116.5,,2026-01-06T18:08:40Z,take_profit,2.145,2.24,10.95,4.4289,-0.23,11.07,18139,
2026-01-07T14:01:29Z,HBAR-PERP-INTX,LONG,1947,,2026-01-06T22:08:51Z,stop_loss,0.128469,0.124303,-8.26,-3.2429,-9.25,1.93,57157,
2026-01-07T14:09:54Z,BCH-PERP-INTX,LONG,0.394,,2026-01-06T14:09:18Z,stop_loss,634.342614,629.06,-2.23,-0.8328,-3.3,3.82,86436,
2026-01-07T14:31:23Z,BTC-PERP-INTX,LONG,0.0027,,2026-01-06T22:09:11Z,stop_loss,93317.2,91414.3,-5.29,-2.0392,-5.48,1.21,58931,
2026-01-07T18:08:33Z,AAVE-PERP-INTX,LONG,1.47,,2026-01-06T18:08:01Z,stop_loss,169.873878,167.45,-3.71,-1.4269,-5.36,9.96,86432,
2026-01-07T18:08:44Z,LINK-PERP-INTX,LONG,18.35,,2026-01-06T18:08:21Z,stop_loss,13.63,13.363,-5.05,-1.9589,-6.48,7.84,86423,
2026-01-07T19:17:15Z,LTC-PERP-INTX,LONG,3.01,,2026-01-07T02:08:52Z,stop_loss,83,80.88,-6.53,-2.5542,-6.38,2.65,61702,
2026-01-07T19:25:16Z,SEI-PERP-INTX,LONG,1995,,2026-01-07T14:08:50Z,stop_loss,0.1255,0.1241,-2.94,-1.1155,-2.99,3.19,18985,
2026-01-07T19:25:18Z,SOL-PERP-INTX,LONG,1.848,,2026-01-07T18:07:41Z,stop_loss,135.264,134.621,-1.34,-0.4754,-1.93,0.95,4657,
2026-01-07T19:25:18Z,ARB-PERP-INTX,LONG,1178.7,,2026-01-07T18:07:22Z,stop_loss,0.2122,0.2108,-1.8,-0.6598,-2.12,1.77,4676,
2026-01-07T19:25:18Z,DOGE-PERP-INTX,LONG,1692,,2026-01-07T02:09:12Z,stop_loss,0.14779,0.145597,-3.86,-1.4837,-5.28,10.37,62166,
2026-01-08T06:59:04Z,ONDO-PERP-INTX,LONG,590,,2026-01-08T02:09:11Z,stop_loss,0.424149,0.4098,-8.61,-3.383,-8.47,0.97,17392,
2026-01-08T06:59:13Z,DOGE-PERP-INTX,LONG,1701,,2026-01-08T02:08:12Z,stop_loss,0.1471,0.14223,-8.43,-3.3107,-8.37,0.58,17461,
2026-01-08T07:01:28Z,ETH-PERP-INTX,LONG,0.0788,,2026-01-08T02:08:51Z,stop_loss,3172.86,3090.83,-6.61,-2.5854,-6.82,0.72,17557,
2026-01-08T07:01:28Z,ADA-PERP-INTX,LONG,621,,2026-01-08T02:08:31Z,stop_loss,0.4035,0.3892,-9.03,-3.544,-9.25,0.31,17576,
2026-01-08T07:10:15Z,LTC-PERP-INTX,LONG,3.05,,2026-01-08T02:07:52Z,stop_loss,82.06,80.47,-5,-1.9376,-5.73,0.46,18142,
2026-01-08T07:10:17Z,SEI-PERP-INTX,LONG,2028,,2026-01-08T06:09:11Z,stop_loss,0.1236,0.122378,-2.63,-0.9885,-3.85,0,3666,
2026-01-08T07:10:18Z,ARB-PERP-INTX,LONG,1189.9,,2026-01-08T06:08:51Z,stop_loss,0.2099,0.2078,-2.65,-1.0005,-4.52,0.36,3686,
2026-01-10T02:10:09Z,LTC-PERP-INTX,LONG,3.06,,2026-01-09T02:09:42Z,stop_loss,81.72,81.32,-1.37,-0.4895,-5.72,0.46,86427,
2026-01-10T02:10:18Z,BTC-PERP-INTX,LONG,0.0027,,2026-01-09T02:08:43Z,stop_loss,91286,90605,-1.99,-0.746,-4.55,1.86,86494,
2026-01-10T02:10:24Z,AAVE-PERP-INTX,LONG,1.51,,2026-01-09T02:09:02Z,stop_loss,166.12,164.72,-2.26,-0.8428,-5.54,6.24,86481,
2026-01-10T02:10:29Z,ARB-PERP-INTX,LONG,1196.2,,2026-01-09T02:09:22Z,stop_loss,0.2092,0.206,-3.98,-1.5296,-5.62,5.14,86467,
2026-01-10T02:12:19Z,SOL-PERP-INTX,LONG,1.799,,2026-01-09T02:10:01Z,stop_loss,138.961,136.318,-4.9,-1.902,-7.54,3.81,86538,
2026-01-10T06:09:00Z,APT-PERP-INTX,LONG,138.4,,2026-01-09T06:08:49Z,expired_breakeven,1.805,1.804,-0.29,-0.0554,-4.57,4.43,86411,
2026-01-10T07:45:55Z,ONDO-PERP-INTX,SHORT,-625,,2026-01-10T06:08:50Z,stop_loss,0.3995,0.4014,-1.34,-0.4756,-1.69,0.75,5824,
2026-01-10T07:45:58Z,LINK-PERP-INTX,LONG,19.11,,2026-01-10T06:09:32Z,expired_breakeven,13.086873,13.13,0.67,0.3295,-0.65,1.32,5785,
2026-01-10T07:45:58Z,ETH-PERP-INTX,SHORT,-0.0811,,2026-01-10T06:09:10Z,expired_breakeven,3083.84,3086.44,-0.36,-0.0843,-0.51,0.36,5807,
2026-01-15T10:38:58Z,ETH-PERP-INTX,LONG,0.0296,,2026-01-15T10:37:53Z,expired_breakeven,3366.61,3366.29,-0.07,-0.0095,-0.03,0.05,65,
2026-01-15T15:25:28Z,APT-PERP-INTX,SHORT,-65.2,,2026-01-15T10:19:37Z,partial_take,1.914,1.867,3.05,2.4556,-0.78,3.19,18350,7e4954df-5bbb-467c-8788-5c48b59e8fe2
2026-01-15T15:46:36Z,ENS-PERP-INTX,SHORT,-11.61,,2026-01-15T10:20:16Z,partial_take,10.71,10.39,3.7,2.9879,-0.58,3.72,19580,37784c28-b97e-4226-b173-534df4dfab59
2026-01-15T15:48:56Z,ARB-PERP-INTX,LONG,579.2,,2026-01-15T10:19:17Z,partial_take,0.216,0.2077,-4.84,-3.8426,-5.1,1.51,19778,85f1317e-62bc-45c3-881d-ac11c9bc358c
2025-09-26T14:02:05Z,AERO-PERP-INTX,LONG,171.1,,2025-09-26T13:49:37Z,partial_take,1.0162,1.0203,0.7,0.4035,-1.01,0.79,747,8f3b9268-f956-4a36-9dc5-b131aa4a26e0
2025-09-26T14:02:05Z,ARB-PERP-INTX,LONG,548.2,,2025-09-26T13:49:15Z,partial_take,0.4127,0.415,1.26,0.5573,-0.71,1.7,769,71d3d702-dadd-421f-a76c-b08faa8ce1f4
2025-09-26T14:02:05Z,LINK-PERP-INTX,LONG,11.23,,2025-09-26T13:49:26Z,partial_take,20.5,20.554,0.61,0.2634,-0.69,1.28,758,d987a45d-fe20-465b-8255-e220e1bb033d
2025-09-26T14:09:20Z,LTC-PERP-INTX,SHORT,-1.96,,2025-09-26T14:02:05Z,partial_take,103.31,103.01,0.59,0.2904,0,0.86,435,774b4286-1118-488f-a24b-af3500546734
2025-09-26T14:09:31Z,XRP-PERP-INTX,SHORT,-15,,2025-09-26T14:02:05Z,partial_take,2.7614,2.7452,0.24,0.5867,0,0.3,446,96a42426-67aa-49f8-8d32-28299b03fa66
2025-09-26T14:09:42Z,HBAR-PERP-INTX,SHORT,-1136,,2025-09-26T14:02:05Z,partial_take,0.21043,0.20975,0.77,0.323,-0.11,1.36,457,694aa2ef-dbbe-4b5e-82b5-21efd482c130
2025-09-26T14:10:15Z,TRUMP-PERP-INTX,SHORT,-18.68,,2025-09-26T14:02:05Z,partial_take,7.509,7.498,0.21,0.1465,-0.02,0.45,490,f8540bf5-033b-4b26-8367-83f0f2dd7c85
2025-09-26T15:39:14Z,BTC-PERP-INTX,LONG,0.0023,,2025-09-26T14:29:56Z,partial_take,109129.9,109247.2,0.27,0.1075,-0.75,0.67,4157,c10f53d6-be00-49b0-ab1c-244e9d4efc49
2025-09-26T16:22:40Z,XLM-PERP-INTX,LONG,348,,2025-09-26T14:10:26Z,partial_take,0.35362,0.35652,1.01,0.8201,-1.57,1.27,7933,afc4ed54-6206-4321-8411-2c713ba7b70f
2025-09-26T16:22:42Z,AERO-PERP-INTX,LONG,157.1,,2025-09-26T14:10:37Z,partial_take,1.0202,1.0385,2.87,1.7938,-2.59,2.94,7924,6347e7f1-a1e3-4628-b8f2-3d837907b2c5
2025-09-26T16:22:42Z,TAO-PERP-INTX,LONG,0.806,,2025-09-26T14:09:53Z,partial_take,294.87,299.82,3.99,1.6787,-2.96,4.24,7969,ee8fb8a1-7471-4550-82dc-b63e4cee213e
2025-09-27T07:23:09Z,XRP-PERP-INTX,SHORT,-90,,2025-09-26T16:22:42Z,partial_take,2.761788,2.7931,-2.82,-1.1338,-4.47,1.12,54026,522ab900-a9de-4911-986e-b3008cd2ee70
2025-09-27T07:23:31Z,TRUMP-PERP-INTX,SHORT,-19.2,,2025-09-26T16:22:42Z,partial_take,7.545,7.585,-0.77,-0.5302,-1.25,0.56,54049,098806f2-83ce-4e89-8bf0-c9a2d7bfda9b
2025-09-27T07:23:53Z,XLM-PERP-INTX,SHORT,-73,,2025-09-26T16:22:40Z,partial_take,0.35653,0.36122,-0.34,-1.3155,-0.56,0.14,54073,200a9e02-a2fd-4dd0-9904-28758cc99f5d
2025-09-27T07:24:15Z,LTC-PERP-INTX,SHORT,-2.41,,2025-09-26T16:22:42Z,partial_take,104.04,103.9,0.34,0.1346,-2.19,1.3,54093,a1a7cb0e-d29d-49aa-b51d-93d155c43a62
2025-09-27T07:24:27Z,HBAR-PERP-INTX,SHORT,-825,,2025-09-26T16:22:42Z,partial_take,0.21198,0.21334,-1.12,-0.6416,-3.77,0.86,54104,9e3417d6-b332-4d08-807e-89f11b26466a
2025-09-27T10:36:04Z,APT-PERP-INTX,SHORT,-243.2,,2025-09-27T10:34:52Z,partial_take,4.084,4.095,-2.68,-0.2693,-3.65,0.49,71,3f0112b4-20de-44b1-9a5f-837cee70d825
2025-09-27T12:09:23Z,APT-PERP-INTX,LONG,22.5,,2025-09-27T10:36:39Z,partial_take,4.098,4.081,-0.38,-0.4148,-0.38,0.14,5563,04630701-bf89-44cc-b094-545d082ffbd1
2025-09-28T16:13:15Z,LINK-PERP-INTX,LONG,9.73,,2025-09-27T07:24:05Z,partial_take,21.003,21.153,1.46,0.7142,-5.45,1.97,118150,2a97c519-ebc9-48fe-9337-be5a7e5c29de
2025-09-28T17:06:29Z,LTC-PERP-INTX,SHORT,-1.93,,2025-09-26T16:22:42Z,partial_take,104.69658,105.18,-0.93,-0.4617,-1.07,3.58,175427,4798be36-bcb5-4730-bf4c-a3be85fa5cce
